ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
29,MISSOURI,MO,29189,St. Louis,29189210501,"Census Tract 2105.01, St. Louis County, Missouri",0.5804,0.9834,0.8516,0.2565,0.7354
29,MISSOURI,MO,29225,Webster,29225470201,"Census Tract 4702.01, Webster County, Missouri",0.6121,0.8249,0.4244,0.7601,0.7361
29,MISSOURI,MO,29095,Jackson,29095014004,"Census Tract 140.04, Jackson County, Missouri",0.558,0.8782,0.4611,0.763,0.7368
29,MISSOURI,MO,29181,Ripley,29181870400,"Census Tract 8704, Ripley County, Missouri",0.9423,0.9769,0.0468,0.3617,0.7376
29,MISSOURI,MO,29051,Cole,29051010500,"Census Tract 105, Cole County, Missouri",0.703,0.2385,0.7082,0.8674,0.7383
29,MISSOURI,MO,29047,Clay,29047020500,"Census Tract 205, Clay County, Missouri",0.6489,0.7241,0.8674,0.4517,0.739
29,MISSOURI,MO,29213,Taney,29213480106,"Census Tract 4801.06, Taney County, Missouri",0.6359,0.3818,0.9323,0.6383,0.7397
29,MISSOURI,MO,29145,Newton,29145020200,"Census Tract 202, Newton County, Missouri",0.504,0.6837,0.8797,0.6808,0.7404
29,MISSOURI,MO,29205,Shelby,29205450300,"Census Tract 4503, Shelby County, Missouri",0.682,0.8991,0.183,0.7968,0.7412
29,MISSOURI,MO,29069,Dunklin,29069360100,"Census Tract 3601, Dunklin County, Missouri",0.9337,0.9575,0.446,0.1607,0.7419
29,MISSOURI,MO,29077,Greene,29077000800,"Census Tract 8, Greene County, Missouri",0.9207,0.1059,0.6938,0.6988,0.7426
29,MISSOURI,MO,29019,Boone,29019000500,"Census Tract 5, Boone County, Missouri",0.8832,0.005,0.7947,0.9863,0.7433
29,MISSOURI,MO,29009,Barry,29009960200,"Census Tract 9602, Barry County, Missouri",0.6647,0.4712,0.8725,0.6196,0.7441
29,MISSOURI,MO,29037,Cass,29037061400,"Census Tract 614, Cass County, Missouri",0.7296,0.4611,0.2709,0.9373,0.7448
29,MISSOURI,MO,29103,Knox,29103960200,"Census Tract 9602, Knox County, Missouri",0.7621,0.9078,0.0699,0.7709,0.7455
29,MISSOURI,MO,29213,Taney,29213480502,"Census Tract 4805.02, Taney County, Missouri",0.7628,0.25,0.1909,0.9935,0.7462
29,MISSOURI,MO,29047,Clay,29047021001,"Census Tract 210.01, Clay County, Missouri",0.5963,0.7723,0.7046,0.6614,0.7469
29,MISSOURI,MO,29095,Jackson,29095013313,"Census Tract 133.13, Jackson County, Missouri",0.6215,0.7133,0.9618,0.4316,0.7477
29,MISSOURI,MO,29510,St. Louis City,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",0.6035,0.2565,0.8278,0.8984,0.7484
29,MISSOURI,MO,29189,St. Louis,29189212001,"Census Tract 2120.01, St. Louis County, Missouri",0.8673,0.8228,0.5252,0.3682,0.7491
29,MISSOURI,MO,29163,Pike,29163460400,"Census Tract 4604, Pike County, Missouri",0.5335,0.7356,0.5,0.9049,0.7498
29,MISSOURI,MO,29077,Greene,29077001800,"Census Tract 18, Greene County, Missouri",0.9791,0.567,0.2522,0.5223,0.7505
29,MISSOURI,MO,29125,Maries,29125880100,"Census Tract 8801, Maries County, Missouri",0.8183,0.7111,0.438,0.6102,0.7513
29,MISSOURI,MO,29095,Jackson,29095005500,"Census Tract 55, Jackson County, Missouri",0.7195,0.8833,0.9582,0.2435,0.752
